Unnamed: 0,Date & Time,Headlines,Author,Vertical,Description
399,"Last Updated: Nov 05, 2016, 10:50 PM IST",Experts have started demystifying GST regime to tax officials from across India,ET Bureau,Economy,The Centre has roped in senior tax experts from the industry and from the government mechanism to train about 1.8 million tax officers across the country.
400,"Last Updated: Nov 05, 2016, 11:11 PM IST","Modi government 'disruptionist', questions status quo: Union Minister",PTI,Politics,"Nirmala Sitharaman said, ""In this government, the Cabinet meetings are always churning of ideas. It is not that agenda is set before us, we talk about it and clear it and go away."""
401,"Last Updated: Nov 05, 2016, 11:14 PM IST",Cases against protestors to be reviewed: Mehbooba,PTI,Politics,"""We can't go on arresting people. There should be a different and empathetic plan of action to contain the situation,"" Mehbooba said."
402,"Last Updated: Nov 05, 2016, 11:19 PM IST",APTEL allows fuel cost pass through for its plant: Reliance Power,PTI,Energy,"""APTEL judgement provides regulatory clarity & certainty for VIPL,"" Reliance Power said in a statement."
403,"Last Updated: Nov 06, 2016, 06:29 PM IST",Bengaluru FC go down fighting to Iraq's Air Force Club in AFC Cup final,ET Online,Sports,Bengaluru chased the match valiantly in the later stages of the match but the Air Force players were ready to quell all the attacking forays.
404,"Last Updated: Nov 05, 2016, 11:47 PM IST","ICANN will closely work with India, says its President Goran Marby",PTI,Internet,"ICANN, which matches domain names with appropriate IP address numbers, is hosting its 57th meeting here from November 3-9."
405,"Last Updated: Nov 06, 2016, 12:05 AM IST",Channel ban a message to media to play ball or get shot: Congress,PTI,Politics,"""This is unfortunately the Indian media getting encountered,"" Congress spokesperson Manish Tewari said, alleging that there are people in the ruling dispensation ""who have been past masters at alleged fake encounters""."
406,"Last Updated: Nov 06, 2016, 10:55 AM IST","November 8 Blues: Who will America vote for, Hillary Clinton or Donald Trump?",,International,"A Clinton victory would mean no less than a reaffirmation of America’s stated ideals of democracy and inclusion, especially in the face of a threat like Trump."
407,"Last Updated: Nov 06, 2016, 12:25 AM IST","India is my home, says Bangladeshi writer Tasleema Nasreen",PTI,Politics,"""I have been living in exile since 1994. I know I have no other alternative but to live in exile for rest of my life. I feel I have nowhere to go or country to return to."""
408,"Last Updated: Nov 06, 2016, 09:16 AM IST",Day long ban on NDTV smacks of Ministry of Truth,ET Bureau,Politics,"The ban order on NDTV India is a threat held out to media owners: if you publish things the government does not like and can label as being anti-national, your financial viability is at risk."
409,"Last Updated: Nov 06, 2016, 10:22 PM IST",What the government should do to tackle the Delhi smog,,Politics,"Given that the smog conditions were expected, why weren’t emergency measures in place and advisories released in advance?"
410,"Last Updated: Nov 06, 2016, 12:29 AM IST",Mayawati ridicules Samajwadi Party's bid to form grand alliance,PTI,Politics,"Mayawati, while attacking the ruling party, said, ""All know that because of its selfish motives, Samajwadi Party today stands divided."""
411,"Last Updated: Nov 06, 2016, 12:28 AM IST","BJP may field either Pankaj or Neeraj, sons of Rajnath Singh this time",ET Bureau,Politics,"In the 2017 election, the only difference is that now the grapevine is also crackling with the name of Pankaj’s younger brother Neeraj."
412,"Last Updated: Nov 06, 2016, 12:29 AM IST","The Youth of UP are with SP: Aditya Yadav, son of Shivpal",ET Bureau,Politics,"Aditya is at pains to point out that he supports Akhilesh as the CM of SP. “The way the SP, the CM, has worked in the last five years."
413,"Last Updated: Nov 06, 2016, 12:39 AM IST","How a cottage enterprise of illegal handguns, bombs is taking root in Bengal",ET Bureau,Politics,"While Burdwan, Birbhum, Malda and Murshidabad record maximum cases of making explosives, West Midnapore, Bankura, South 24 Parganas and North 24 Parganas are infamous for illegal arms units."
414,"Last Updated: Nov 06, 2016, 12:39 AM IST",Ayodhya's simple Diwali and the election lollipop of Ramayan Museum,,Politics,"In this region, politics and the Ram Janmabhoomi-Babri Masjid dispute are two sides of the same coin. In recent weeks, leaders from all parties have spoken about the Ram temple."
415,"Last Updated: Nov 06, 2016, 09:57 AM IST",How Tel Aviv with its party lights contrasts with quaint old Jaffa,ET Bureau,Panache,"While Jaffa went back, according to some estimates, to 7,500 BC, Tel Aviv grew out of it a mere 110 years ago."
416,"Last Updated: Nov 06, 2016, 12:54 AM IST",How a bunch of health startups face a race to prove their own vitality,ET Bureau,Startups,"On the face of things, India provides a massive opportunity for these startups. At one level, people are increasingly unhealthy — the country leads in cardiac disease and diabetes."
417,"Last Updated: Nov 06, 2016, 11:11 AM IST","Ramdev’s 2017 target: 30 lakh shops, factories worth Rs 1 lakh crore",ET Bureau,Startups,"Patanjali has around 5,000 retail outlets and its products are available in 10 lakh shops; we have a target to scale to 30 lakh shops by next year.”"
418,"Last Updated: Nov 06, 2016, 12:57 AM IST",Breathless in smoke house Delhi as grey shroud triggers health issues,TNN,Environment,Delhi got an apocalyptic vision on Saturday of what its future could be like if pollution controlling measures are not implemented urgently and aggressively. The city experienced a very alarming air pollution episode as pollution levels shot off the charts.
419,"Last Updated: Nov 06, 2016, 12:57 AM IST",Swords and peace overtures in Samajwadi Party,ET Bureau,Politics,"Shivpal said that he will not tolerate any humiliation of elder brother and SP chief Mulayam, but was ready to serve Akhilesh."
420,"Last Updated: Nov 06, 2016, 03:26 AM IST","Now, Centre plans green transport push",TNN,Environment,The urban development ministry is preparing a plan for promoting “green transport” in cities in a bid to reduce vehicular pollution and put a brake on the rising number of private vehicles.
421,"Last Updated: Nov 06, 2016, 07:00 AM IST","From Uri to Bhopal, the militarisation of the national imagination will have grave consequences",,Politics,"From Kashmir to alleged SIMI terrorists, to our persistent problem with Pakistan, it’s all presented as part of the same package."
422,"Last Updated: Nov 06, 2016, 10:57 AM IST",Why Indian-Americans may prove decisive in the Donald Trump vs Hillary Clinton face-off,ET Bureau,International,Donald Trump last week became perhaps the first United States presidential candidate to reach out exclusively to Indian-American voters.
423,"Last Updated: Nov 06, 2016, 07:30 AM IST",Banners exhort Pak army chief Raheel Sharif to contest polls,PTI,Defence,The banners put up on electricity poles in Rawalpindi urged Sharif him to contest election in 2018 by one Sheikh Amjad Ali.
424,"Last Updated: Nov 06, 2016, 08:33 AM IST",Have received several marriage proposals: Bilawal Bhutto Zardari,PTI,Panache,"Bilawal, who is in his mid-20s, is the only son of Benazir Bhutto and Asif Ali Zardari."
425,"Last Updated: Nov 06, 2016, 08:45 AM IST","From JK Rowling to Twinkle Khanna, women writers who topped the charts with their bestsellers",ET Bureau,Panache,The list also includes 'The God of Small Things' by Arundhati Roy and 'The Girl on the Train' by Paula Hawkins.
426,"Last Updated: Nov 06, 2016, 08:50 AM IST",ET Recommendations: ReCore for Xbox One - can be tried once,ET Bureau,Panache,"Audio is top-notch and is one of the main things that keeps the game interesting. However, there is no multiplayer mode."
427,"Last Updated: Nov 06, 2016, 08:54 AM IST",Why Philippines President Rodrigo Duterte is making headlines,ET Bureau,Panache,The maverick famous for his profanity that has included outbursts aimed at Pope Francis and Barack Obama.
428,"Last Updated: Nov 06, 2016, 09:42 AM IST",Salman Khan comes out in support of Hillary Clinton for US President,PTI,Panache,"Clinton, a Democratic Party nominee is competing with Republican candidate Donald Trump."
429,"Last Updated: Nov 06, 2016, 03:10 PM IST",Top 5 factors that are likely to chart market direction this coming week,ETMarkets.com,Stocks,"The week is unlikely to favour the bulls, at least till the results of the US presidential elections are out. Global markets are also likely to remain volatile."
430,"Last Updated: Nov 06, 2016, 09:53 AM IST",'Homeland' director Gideon Raff believes in working with actors from across the border,ET Bureau,Panache,Raff arrived in India in the midst of all the controversy around the release of 'Ae Dil Hai Mushkil'.
431,"Last Updated: Nov 06, 2016, 09:59 AM IST",Parliamentary panel to look into debit card data breach,PTI,Politics,As many as 32.14 lakh debit cards data was compromised and 641 customers across 19 banks were duped of Rs 1.3 crore using stolen debit card data.
432,"Last Updated: Nov 06, 2016, 10:04 AM IST",Denial of sex by wife during pregnancy not cruelty: Delhi High Court,PTI,Politics,"Delhi High Court said if the wife wakes up late in the morning or wants tea to be served in bed would at best show that she is lazy, and ""laziness is not cruelty""."
433,"Last Updated: Nov 06, 2016, 10:11 AM IST",Heavy smog blanket over one-tenth of China's land area,,International,"Seven provinces and municipalities, including Beijing and Tianjin, saw the air pollution levels on rise, with Air Quality Index (AQI) readings hitting 500 in 11 cities in northeastern China."
434,"Last Updated: Nov 06, 2016, 10:22 AM IST","Delhi smog: Rise in asthma, allergy, breathlessness cases",PTI,Panache,"Doctors and experts say that besides spike in fresh cases, health complications have aggravated in people having a history of asthma, allergy or other related ailments."
435,"Last Updated: Nov 06, 2016, 10:28 AM IST",Centre declines to share details on RBI Governor's appointment,PTI,Economy,"Replying to an RTI query, the Cabinet Secretariat denied to share copy of minutes of the meetings of the search committee for selecting the RBI Governor."
436,"Last Updated: Nov 06, 2016, 10:33 AM IST","UP Cabinet greenlights Patanjali's Rs 2,000-cr investment",PTI,Cons. Products,"Around 450 acres of land have been identified, which will be allocated to the Greater Noida plant. The land will be bought by PAL."
437,"Last Updated: Nov 06, 2016, 11:22 AM IST",UP's next-gen politicians may be better placed than their predecessors,ET Bureau,Politics,"ET caught up with some of these next-gen politicians, some who will contest, others who are content to campaign, and still others who are waiting in the wings."
438,"Last Updated: Nov 06, 2016, 10:38 AM IST",Ratan Tata may follow his old strategy of getting outsider CEOs,ET Bureau,Company,"Mistry was family through the marriage and yet he wasn’t a Tata; he had spent time on Tata Sons as an independent director, and yet had never worked for the Tatas."
439,"Last Updated: Nov 06, 2016, 10:48 AM IST",Indian Railways: 1.1 lakh ideas poured in so far for Indian Railways' biggest ever brainstorm on Nov 18 -20,ET Bureau,Transportation,PM Modi will join over 650 participants from the Railways in a yoga session before listening to their presentation on the top 15 reform ideas.
440,"Last Updated: Nov 06, 2016, 11:28 AM IST",Delhi smog: Every house in this locality has one person suffering from lung ailment,TNN,Panache,"Residents of Bhalswa JJ colony live close to the site where nearly 2,700 tonnes of garbage is dumped from south and the north Delhi."
441,"Last Updated: Nov 06, 2016, 11:11 AM IST",Apple seeks incentives to set up manufacturing unit,PTI,Hardware,"Apple Inc has asked for incentives related to the Department of Revenue and Department of Electronics and Information Technology (DeITY), an official told PTI."
442,"Last Updated: Nov 06, 2016, 11:10 AM IST","Buffett is sitting on more cash than ever, sparking speculation what he will buy next",,Stocks,"Over the past five decades, he’s built the Omaha, Nebraska-based company into a sprawling conglomerate through dozens of acquisitions and stock picks."
443,"Last Updated: Nov 06, 2016, 11:14 AM IST",FDI in India rises 30 per cent to $21.6 billion in April-Sep,PTI,Economy,"India receives maximum FDI from countries, including Mauritius, Singapore, the Netherlands and Japan."
444,"Last Updated: Nov 06, 2016, 11:19 AM IST",Cap on withdrawals from ATMs policy decision: RBI to HC,PTI,Economy,"RBI was responding to a public interest litigation (PIL) filed by advocate Swati Aggarwal, seeking directions to allow banking customers to make an unlimited number of transactions free."
445,"Last Updated: Nov 06, 2016, 11:26 AM IST",Broadcasters body wants govt to review NDTV ban,TNN,Media/Entertainment,"The NBA said the channel had been ""singled out when the rest of the media also did cover the Pathankot terror attack, and all such reports were available in the public domain""."
446,"Last Updated: Nov 06, 2016, 11:31 AM IST",Opposition calls news channel ban a 'second Emergency',TNN,Politics,"CPM demanded immediate withdrawal of the ban order and an assurance from the government “that such arbitrary actions will not be undertaken in the future."""
447,"Last Updated: Jul 13, 2018, 11:03 PM IST","2 soldiers killed, 3 injured as Pakistan violates ceasefire",PTI,Defence,"At least four places came under indiscriminate shelling and firing by Pakistan Army to target civil and defence facilities in the area, a police official said here."
448,"Last Updated: Nov 06, 2016, 11:31 AM IST",Major setback to Delhi Metro's autopilot plan as trains collide in depot,TNN,Transportation,Delhi Metro has ordered an inquiry into the incident as contrary to norms the second train was allowed to be reversed from the rear coach. Normally trains go to the end of the line and were driven around.
449,"Last Updated: Nov 06, 2016, 11:48 AM IST",Have immigrants arrived in US? Tuesday will tell,TNN,International,"Over the past decade, cities and townships from Irving (outside Dallas) to Nashville, Tennessee, and Omaha, Nebraska, are growing with foreign-born populations."
450,"Last Updated: Nov 06, 2016, 11:49 AM IST",When will Indian startups play for high stakes like Chinese?,TNN,Startups,"At the Nasscom Product Conclave in Bengaluru recently, STOI brought together experts on the India-China relationship to discuss the trend."
451,"Last Updated: Nov 06, 2016, 11:47 AM IST","Top seven most valued firms lose Rs 72,452 crore in mcap",PTI,Stocks,"The m-cap of RIL tanked Rs 14,724.35 crore to Rs 3,26,205.83 crore and that of TCS tumbled Rs 12,709.26 crore to Rs 4,59,129.41 crore."
452,"Last Updated: Nov 07, 2016, 10:54 AM IST",MF assets base hits fresh high of Rs 16.3L crore in October,PTI,Stocks,"Overall inflow in mutual fund schemes stood at Rs 32,334 crore at the end of last month compared to Rs 16,071 crore at September-end."
453,"Last Updated: Nov 07, 2016, 10:54 AM IST",MF asset base hits fresh high of Rs 16.3 lakh crore in October,PTI,Personal Finance News,"Overall inflow in mutual fund schemes stood at Rs 32,334 crore at the end of last month compared to Rs 16,071 crore at September-end."
454,"Last Updated: Nov 07, 2016, 10:54 AM IST",MF assets base hits fresh high of Rs 16.3L crore in October,PTI,MF News,"Overall inflow in mutual fund schemes stood at Rs 32,334 crore at the end of last month compared to Rs 16,071 crore at September-end."
455,"Last Updated: Nov 06, 2016, 11:51 AM IST",Police encounter: MP sets a new low,TNN,Politics,"Over the years, from West Bengal to Punjab, Kashmir to Mumbai and Gujarat, the police has routinised extra-judicial murders."
456,"Last Updated: Nov 06, 2016, 12:31 PM IST","Not just married couples, now even men & their mistresses go for marital counselling",TNN,Panache,Couples visit a therapist because one of them wants to keep the affair merely physical & the other is emotionally invested.
457,"Last Updated: Nov 06, 2016, 11:59 AM IST","At 78 paise per print, Rs 1 note now profitable",TNN,Economy,The cost of printing Re 1 notes at the SPMCIL has come down from Rs 1.14 per unit to 78.5 paise due to better use of technology .
458,"Last Updated: Jul 14, 2018, 08:25 PM IST",Border tense but red tape hits Army acquisition of big guns,TNN,Defence,"Defence ministry sources said the Pentagon's ""letter of offer and acceptance (LoA)"" to sell 145 the M-777s to India for $737 million ""expired"" on Saturday."
459,"Last Updated: Nov 06, 2016, 12:05 PM IST",SWAMINOMICS - Surveys mislead when firms control the investment climate,TNN,Economy,"Critics have long pilloried the shortcomings of the Doing Business report. Yet it has become popular, warts and all, because it captures at least the formal hurdles facing honest business."
460,"Last Updated: Nov 06, 2016, 12:11 PM IST","Private sector NPS subscribers can now invest in AIFs, REITs",PTI,Invest,"The new class is in addition to the existing three categories -- equity, corporate bond and government debt."
461,"Last Updated: Nov 06, 2016, 12:19 PM IST",Delhi-Ghaziabad-Meerut rapid rail moves off the drawing board,TNN,Transportation,"The RRTS corridor will be a double-line standard gauge, rapid railway system, which will be built on elevated viaducts"
462,"Last Updated: Nov 06, 2016, 06:07 PM IST",Only the Supreme Court can decide on Ram Temple: Khaliq Ahmad Khan,,Interviews,Even the Supreme Court cannot pave the way for a Ram temple till it decides the title suit which is about who owns the land where Babri Masjid stood before it was demolished by right-wing mobs in 1992.
463,"Last Updated: Nov 06, 2016, 12:16 PM IST",CBDT to install cheque deposit machines at ASKs,PTI,Tax,"As per the road map prepared by the CBDT, the tax department will roll out several such initiatives, including expeditious refund in case the mismatch in TDS filing is up to Rs 1 lakh, over 3-4 months."
464,"Last Updated: Jul 12, 2018, 09:02 PM IST","Nothing can be said about our army, they’re above criticism",TNN,Defence,Why should retired soldiers insist on getting what retired teachers and clerks and postmen do not?
465,"Last Updated: Nov 06, 2016, 12:43 PM IST",Why we have failed to tackle air pollution: 5 reasons,TNN,Environment,"The CPCB gets real-time air quality data from only two or three monitoring stations in most cities. This gives a skewed picture of air quality status and compromises policy-making. Most cities depend on manual monitoring stations, which use obsolete technology, and data is released just twice a week."
466,"Last Updated: Nov 06, 2016, 12:30 PM IST",Mega Maldives Airlines eyes partnership with Indian carriers,PTI,Transportation,"Mega Maldives Airlines has plans to ramp up its presence in India with direct flights from Mumbai and services from the national capital to Dhaka, Bangladesh."
467,"Last Updated: Nov 06, 2016, 12:34 PM IST",India loses out on hosting world's largest telescope,PTI,Science,There was a lot of anticipation that the giant Thirty Meter Telescope (TMT) would get housed at a remote high- altitude site in the cold desert of Ladakh in Jammu and Kashmir.
468,"Last Updated: Nov 06, 2016, 12:34 PM IST",Outlook negative for Indian footwear industry: Icra,PTI,Stocks,"The Indian companies have been trying to increase exports to other continents, especially the US, but there has been limited success till date."
469,"Last Updated: Nov 06, 2016, 12:34 PM IST",Outlook negative for Indian footwear industry: Icra,PTI,Stocks,"The Indian companies have been trying to increase exports to other continents, especially the US, but there has been limited success till date."
470,"Last Updated: Nov 06, 2016, 12:30 PM IST",DERC chief row: Now Delhi CM Arvind Kejriwal cancels LG Najeeb Jung's order,TNN,Politics,Kejriwal said Saini would continue as DERC chief as his removal by the LG was illegal and it was done without consultation with the CM or power minister Satyendar Jain.
471,"Last Updated: Nov 06, 2016, 02:48 PM IST",Pakistan not to deport Nat Geo's Afghan Girl Sharbat Gula,PTI,Panache,The decision has been taken on humanitarian grounds and as a goodwill gesture towards Afghanistan.
472,"Last Updated: Nov 06, 2016, 12:36 PM IST","FPIs pull out Rs 2,000 crore in just four trading sessions",PTI,Stocks,"The net outflow by Foreign Portfolio Investors (FPIs) comes following a withdrawal of Rs 10,306 crore from the capital markets (debt and equity) in October."
473,"Last Updated: Nov 06, 2016, 12:43 PM IST",Govt plans to stop financial support to tobacco firms,TNN,Healthcare/Biotech,The move assumes significance as India has so far been firm on its anti-tobacco stand and has implemented a higher tax regime as well as larger 85% pictorial warnings on packs of all tobacco products.
474,"Last Updated: Nov 06, 2016, 12:47 PM IST",PepsiCo to launch 5 products by early next year,PTI,Cons. Products,"PepsiCo will launch new products to address whole grain needs in the Indian diet, fruits and vegetables gaps, and create familiar Indian breakfast recipes healthier with oats."
475,"Last Updated: Nov 06, 2016, 01:00 PM IST","PNB Housing, Varun Beverages set for market debut this week",PTI,IPOs/FPOs,"PNB Housing Finance, promoted by Punjab National Bank, and PepsiCo's largest franchise bottler Varun Beverages will list their shares on Monday and Tuesday, respectively."
476,"Last Updated: Nov 06, 2016, 01:02 PM IST",Govt orders Assam TV channel to go off air for a day,TNN,Media/Entertainment,"An inter-ministerial committee set up by the Union Information and Broadcasting Ministry also accused News Time Assam of two other violations - airing gory visuals of corpses, and a programme deemed derogatory to women."
477,"Last Updated: Nov 06, 2016, 01:02 PM IST",Godrej Property expects Rs 3K-cr revenue from Gr Noida township,PTI,Ind'l Goods/Svs,"Godrej Properties, the real estate arm of Godrej Group, will launch more projects during this fiscal and announce new tie-ups for future development, its Managing Director and CEO Pirojsha Godrej told PTI."
478,"Last Updated: Nov 06, 2016, 01:05 PM IST","Maruti, Suzuki working to develop low-cost hybrid cars",PTI,Auto,"With a fleet of over 15 models, MSI currently commands 47 per cent of the Indian passenger vehicles market."
479,"Last Updated: Jul 14, 2018, 11:02 AM IST",J&K situation extremely fragile; around 300 militants still active: DGP,PTI,Defence,"The continuing infiltration along the border is a cause of worry which can change the whole game, the Director General of Police (DGP) told a meeting of top civil and police officials."
480,"Last Updated: Nov 06, 2016, 01:11 PM IST",Government mandates 20 per cent local components in mobiles for export aid,PTI,Economy,The order also mandates that only those companies will be eligible for the interest subsidy who are involved in complete manufacturing of products in the country over those who only assemble their products.
481,"Last Updated: Nov 07, 2016, 07:11 PM IST",Indian-American votes can turn the tide in Florida,ET Bureau,NRIs in News,"Noting that 70 per cent of Indian-Americans are Democrats, he asked the community in the red states to vote for Clinton, especially in Ohio, Florida, Colorado."
482,"Last Updated: Nov 06, 2016, 01:18 PM IST",Reliance Industries partners consider joining arbitration in $1.55 bn gas row,PTI,Energy,"Calgary-based Niko Resources Ltd, which holds 10 per cent interest in RIL-operated KG-DWN-98/3 or KG-D6 block, said the partners believe they are ""not liable for the amount claimed by the Government of India."""
483,"Last Updated: Nov 06, 2016, 01:17 PM IST",DD starts Swachh Bharat show after PM Modi's nudge,TNN,Politics,Last week Prime Minister Narendra Modi had highlighted the role of media in promoting consciousness awareness about `swacchta'.
484,"Last Updated: Nov 06, 2016, 01:26 PM IST",HSBC sees one more interest rate cut in December,PTI,Stocks,"The crucial question is whether the RBI is keen to get all the way to 4 per cent by March 2018, or is it fine as long as inflation is under 6 per cent."
485,"Last Updated: Nov 06, 2016, 01:29 PM IST",Here's why Ruskin Bond is so particular about making his own bed,TNN,Panache,"The author says that in order to escape 'French' beds, he learnt making his own bed in the boarding."
486,"Last Updated: Nov 06, 2016, 01:43 PM IST",Another bad-hair day? Follow these tips by Shahnaz Husain to bid adieu to all your hair woes,,Panache,"From home-made remedies to hot oil treatment at home, here is a guide to all the tips that you need."
487,"Last Updated: Nov 06, 2016, 02:00 PM IST",Is Shah Rukh Khan doing a sequel to 'Ra One'?,PTI,Panache,Director Anubhav Sinha said that both he and the superstar are keen to make the sequel to their 2011 film.
488,"Last Updated: Nov 06, 2016, 01:31 PM IST",Half the population in 12 countries uncertain on future: HSBC,PTI,Economy,"Over 12,000 people were surveyed in 12 countries and territories, including Argentina, China, France, Hong Kong, Indonesia, Malaysia, Mexico, Singapore, Taiwan, United Arab Emirates, United Kingdom, and United States."
489,"Last Updated: Nov 06, 2016, 01:56 PM IST",Theresa May's visit vital for predicting steps to energize relations with India post Brexit,,Politics,While the full ramifications of Brexit on the potential of Indo-UK engagement cannot be predicted as yet; the vote does not augur well for optimizing the economic potential of the relationship.
490,"Last Updated: Nov 06, 2016, 01:37 PM IST",Sebi initiates process to recruit new executive directors,PTI,Stocks,"The appointment of executive directors will either be on deputation or contractual basis, for an initial period of three years."
491,"Last Updated: Nov 06, 2016, 01:40 PM IST",GST Compensation Bill to detail revenue foregone by states,PTI,India Unlimited,The Compensation Bill will provide a legal backing to the Centre's promise to compensate the states if their revenue growth rate falls below 14 per cent in the first five years of the roll out.
492,"Last Updated: Nov 06, 2016, 01:40 PM IST",GST Compensation Bill to detail revenue foregone by states,PTI,Economy,The Compensation Bill will provide a legal backing to the Centre's promise to compensate the states if their revenue growth rate falls below 14 per cent in the first five years of the roll out.
493,"Last Updated: Nov 06, 2016, 01:44 PM IST",Delhi smog: Arvind Kejriwal goes all out to save suffocating capital,ET Online,Politics,Arvind Kejriwal said that emergency measures are needed to tackle the situation and announced that all constructions and demolitions activities will be stopped for next 5 days.
494,"Last Updated: Nov 06, 2016, 01:44 PM IST",States to deliberate on ways to improve logistics infra,PTI,Economy,The Narendra Modi-led NDA government has been emphasising on enhancing logistics operations in the country and has pushed to port-led development under the ambitious Sagarmala programme
495,"Last Updated: Nov 06, 2016, 01:49 PM IST",Narendra Modi set to be mascot of 'Incredible India' campaign,PTI,Politics,"No Bollywood actor will be engaged for the campaign aimed at attracting foreign travellers and video footages of Modi will be used for the campaign, a senior ministry official said."
496,"Last Updated: Nov 06, 2016, 01:50 PM IST","There may be bubble building in midcap space, 5 largecap stocks you can bet on",ETMarkets.com,Stocks,"Valuation gap between midcaps and largecaps is now at a record level in favour of the latter. It is better to be positioned in largecaps, said Mahesh Nandurkar, CLSA."
497,"Last Updated: Nov 06, 2016, 02:03 PM IST","Delhi smog: CISF to issue masks to 7,000 personnel out on field",PTI,Politics,"The masks will be provided to those personnel who remian posted outside the buildings to secure the entry and exit of these facilities and those who are mandated to remain positioned at vantage positions and be mobile for patrols or as part of quick reaction teams, officials added."
498,"Last Updated: Nov 06, 2016, 02:15 PM IST","Heart attack & heartburn are not the same thing, here's how you can differentiate",PTI,Panache,"Heartburn and heart attacks have striking similarities in symptoms, but have absolutely nothing in common in medical terms."
499,"Last Updated: Nov 06, 2016, 02:27 PM IST","Chickens, stags and pigs: The stock market is a jungle of animals; let’s know them better",ETMarkets.com,Stocks,"Terms like bulls and bears are commonplace. This bull, my dear reader, is very much human, just that s/he has a little more positivity about the future ahead."
500,"Last Updated: Nov 06, 2016, 02:39 PM IST",Volkswagen to launch 15 models of new energy vehicles in China,PTI,International,"Volkswagen Group China and its two joint ventures delivered 2.85 million automobiles in the Chinese mainland and Hong Kong in the first three quarters, up 10.7 per cent year on year."
501,"Last Updated: Nov 06, 2016, 02:44 PM IST",Press Club asks Tatas to terminate services of security agency,PTI,Politics,Two persons were earlier arrested in connection with the alleged attack on photojournalists and sent to judicial custody till November 11.
502,,,ET,Other Image,
503,"Last Updated: Nov 06, 2016, 02:42 PM IST",Corp Affairs Min to hold sensitisation workshops on CSR norms,PTI,Economy,The move comes against the backdrop of instances of discrepancies in data and lapses being noticed by the Ministry with regard to compliance with CSR rules for the financial year 2014-15 -- when these norms came into effect.
504,"Last Updated: Nov 06, 2016, 02:51 PM IST","India, Japan set to sign nuclear deal this week: Report",PTI,Politics,"The deal would allow Japan to export nuclear technology to India, making it the first non-NPT signatory to have such a deal with Tokyo."
505,"Last Updated: Nov 06, 2016, 11:52 PM IST",KPMG India CEO Richard Rekhy to retire,ET Bureau,Company,"Rekhy’s four-year tenure has come to an end though he had just been elected unopposed as CEO of the firm for a second time in January 2016, and the next change was due only in 2020."
506,"Last Updated: Nov 06, 2016, 02:59 PM IST","'Govt, industry need to tackle challenges of globalisation'",PTI,ITeS,"Chandrashekhar said the acronym VUCA (volatility, uncertainty, complexity and ambiguity), which was coined a few years back, can be seen across various arenas globally."
507,"Last Updated: Nov 06, 2016, 03:10 PM IST","Why no Bharat Ratna to Azad during Nehru-Gandhi rule, asks Ravi Shankar Prasad",PTI,Politics,"The senior BJP leader asked why Patel, a ""great Indian"" who unified in India and died in 1950, was given the country's highest civilian award only in 1991."
508,"Last Updated: Nov 06, 2016, 03:07 PM IST","The week that was: Investors keep hands off midcaps, rush to safe havens",ETMarkets.com,Stocks,Even rising hopes of a quicker implementation of GST following the announcement of four-slab tax structure could not change investor sentiment on Dalal Street.
509,"Last Updated: Nov 06, 2016, 03:17 PM IST",Ensure timely inspections in department: CBDT to taxman,PTI,Tax,"""I request you to give your immediate attention to this area and ensure that the targets and timelines in this regard are strictly adhered to,"" he wrote."
510,"Last Updated: Nov 06, 2016, 03:15 PM IST",Trump's son visits temple to woo Indian-Americans before poll,PTI,International,Donald Trump's daughter-in-law Lara Trump celebrated Diwali at a Hindu temple in the key swing state of Virginia as part of the Republican presidential nominee's efforts to reach out to the Indian-American community.
511,"Last Updated: Nov 06, 2016, 03:18 PM IST",BSNL approaches Telecom Department for 700 MHz spectrum,PTI,Politics,The telecom PSU has suggested that a 5 MHz block in the 700 Mhz band be assigned to it by the government through the equity route.
512,"Last Updated: Nov 06, 2016, 03:22 PM IST",Banners exhort Pakistan army chief to contest polls,PTI,International,The banners put up on electricity poles in Rawalpindi urged 60-year-old Sharif to contest election in 2018.
513,"Last Updated: Jul 12, 2018, 09:00 PM IST",Army engineers finish work for laying water pipeline in Ladakh,PTI,Defence,The PLA had mobilised villagers from Tashigong to pitch Rebos (tents) at Charding-Ninglung Nallah (CNN) Track Junction to protest Indian action.
514,"Last Updated: Nov 06, 2016, 03:20 PM IST","Mission Raftaar: Trains to soon run at 160 kmph on Delhi-Howrah, Delhi-Mumbai routes",PTI,Transportation,"Strengthening of the track, upgrading of signalling system and fencing off vulnerable sections along the route are to be undertaken to ensure 160 kmph speed."
515,"Last Updated: Nov 06, 2016, 03:34 PM IST",Ola wants government to stop 'capital dumping' by rivals,PTI,Startups,"Asked about this, Pranay Jivrajka said the company is adequately capitalised now and that as a policy, it does not comment on market speculation."
516,"Last Updated: Nov 06, 2016, 03:45 PM IST",Priyanka Chopra takes Hindi to 'Quantico 2',PTI,Panache,"The actress shared the news, about shooting a scene in Hindi for her ABC series, on Twitter."
517,"Last Updated: Nov 06, 2016, 03:42 PM IST",Exim Bank lowers lending rate by 0.25 per cent,PTI,Banking/Finance,"The lowering of rate will help promote project exports, EXIM Bank executive director Debasish Mallick said."
518,"Last Updated: Nov 06, 2016, 03:55 PM IST","Abhishek Verma: From defence to cola, film business",PTI,Defence,"Out on bail after spending four years in jail as an undertrial in a total of eight cases, Abhishek Verma claims he has exited the defence sector completely having burnt his fingers."
